Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Ghana,CAIT,Total excluding LUCF,All GHG,MtCO₂e,44.5,42.92,41.28,41.45,38.82,38.24,35.34,32.4,29.08,27.08,25.64,25.68,25.18,23.9,21.47,22.53,21.82,20.39,20.39,19.67,20.03,17.35,16.33,15.34,14.78,14.3,13.8,13.08,12.81
Greece,CAIT,Total excluding LUCF,All GHG,MtCO₂e,84.75,86.51,86.9,88.18,89.91,92.97,100.6,105.76,108.19,114.9,121.79,125.63,122.29,123.91,121.82,122.21,118.89,118.51,117.92,112.28,111.15,107.09,105.99,104.93,100.53,97.9,97.53,95.45,95.35
Grenada,CAIT,Total excluding LUCF,All GHG,MtCO₂e,2.36,2.33,2.31,2.29,2.26,2.32,2.41,2.27,2.26,2.77,2.24,2.21,2.19,2.16,2.14,2.15,2.13,2.1,2.07,2.07,2.06,2.02,1.99,1.96,1.93,1.91,1.92,1.86,1.84
Guatemala,CAIT,Total excluding LUCF,All GHG,MtCO₂e,35.4,33.57,34.31,32.99,30.12,28.9,27.78,27.07,26.45,26.4,25.06,26.22,24.77,24.71,23.35,22.89,22.61,21.69,20.92,19.39,18.84,16.89,16.14,16.11,15.01,14.69,13.93,12.65,12.19
Guinea,CAIT,Total excluding LUCF,All GHG,MtCO₂e,28.89,28.81,28.61,25.68,24.99,24.27,24.01,22.55,21.07,18.76,18.24,17.65,17.23,16.92,15.47,15.42,15.27,14.11,13.18,12.49,12.71,11.7,11.38,11.91,11.49,11.07,10.7,10.37,10.05
Guinea-Bissau,CAIT,Total excluding LUCF,All GHG,MtCO₂e,2.8,2.74,2.65,2.62,2.5,2.5,2.53,2.34,2.34,2.24,2.11,2.19,2.16,1.99,2.04,2.12,2.07,2.02,1.73,1.76,1.62,1.64,1.65,1.72,1.68,1.66,1.63,1.59,1.58
Guyana,CAIT,Total excluding LUCF,All GHG,MtCO₂e,5.04,4.83,4.72,4.83,4.73,4.52,4.36,4.1,4.01,3.78,3.76,3.61,3.3,3.48,3.83,3.8,3.58,3.69,3.64,3.97,3.84,3.91,3.69,3.63,3.23,2.93,2.8,2.81,2.58
Haiti,CAIT,Total excluding LUCF,All GHG,MtCO₂e,9.93,9.9,9.89,9.68,9.36,9.0,8.71,8.97,8.57,8.04,7.99,7.97,7.56,7.51,7.42,7.55,7.51,7.22,7.05,6.58,6.44,6.3,5.9,5.62,4.83,5.33,5.69,5.28,5.06
Honduras,CAIT,Total excluding LUCF,All GHG,MtCO₂e,22.4,21.3,21.5,21.56,21.12,20.88,20.3,19.92,18.89,18.71,18.77,18.75,18.07,17.1,17.14,16.32,14.49,14.09,13.18,12.87,13.44,13.22,13.29,13.7,12.91,12.2,12.38,12.04,11.9
Hungary,CAIT,Total excluding LUCF,All GHG,MtCO₂e,60.92,60.88,58.96,58.33,55.4,55.13,57.47,61.35,62.09,62.11,67.96,69.35,71.52,72.3,73.21,74.34,71.42,73.24,71.05,73.87,73.14,73.27,74.92,72.65,74.35,74.69,74.15,84.09,89.12
