Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Uganda,CAIT,Total excluding LUCF,All GHG,MtCO₂e,54.87,53.95,52.85,50.19,48.38,46.67,45.66,43.71,42.96,40.13,39.06,31.86,28.37,28.87,26.64,26.4,24.5,23.56,23.06,22.62,22.97,21.57,20.53,19.81,19.03,19.28,18.84,18.51,17.97
Ukraine,CAIT,Total excluding LUCF,All GHG,MtCO₂e,274.51,264.1,290.1,279.07,332.02,368.05,379.03,391.16,369.85,351.8,411.73,425.72,417.43,412.02,430.87,465.77,435.21,432.52,433.67,451.86,455.47,483.34,507.74,569.42,600.0,695.29,784.36,876.81,922.42
United Arab Emirates,CAIT,Total excluding LUCF,All GHG,MtCO₂e,263.24,269.82,259.65,252.85,240.02,237.63,226.57,214.63,208.58,202.08,199.89,174.27,162.95,156.7,148.02,139.31,131.6,127.37,113.34,112.69,108.39,103.86,96.09,90.78,84.37,77.76,74.82,76.25,69.71
United Kingdom,CAIT,Total excluding LUCF,All GHG,MtCO₂e,452.08,461.19,475.24,497.74,513.8,554.67,573.41,551.94,594.56,581.69,636.52,656.48,671.96,674.86,680.78,685.43,677.78,695.59,684.83,682.21,708.38,712.03,733.63,713.51,722.7,733.57,750.47,772.6,757.35
United States,CAIT,Total excluding LUCF,All GHG,MtCO₂e,6023.62,5842.8,5907.27,6003.65,6129.04,6108.67,5968.74,6214.43,6442.58,6194.45,6619.98,6797.86,6707.43,6801.82,6787.57,6706.39,6646.96,6806.97,6861.15,6706.4,6709.43,6675.67,6426.07,6260.71,6199.14,6108.08,6000.62,5918.73,5960.28
Uruguay,CAIT,Total excluding LUCF,All GHG,MtCO₂e,36.16,36.11,37.05,36.66,36.9,37.42,38.42,37.55,36.01,38.42,38.86,36.32,37.36,35.24,35.06,33.15,32.25,31.92,32.28,34.18,33.16,33.6,33.92,32.63,32.43,32.54,32.0,30.39,28.78
Uzbekistan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,235.51,234.92,230.9,222.86,226.09,232.95,230.38,242.35,238.39,232.96,259.18,249.7,251.72,228.86,231.81,229.33,234.34,230.53,226.17,206.42,199.57,188.59,194.11,191.69,200.44,222.99,191.09,201.41,198.68
Vanuatu,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.87,0.85,0.86,0.81,0.82,0.76,0.76,0.76,0.74,0.72,0.73,0.73,0.6,0.6,0.58,0.59,0.57,0.57,0.59,0.61,0.6,0.6,0.59,0.57,0.56,0.56,0.53,0.51,0.49
Venezuela,CAIT,Total excluding LUCF,All GHG,MtCO₂e,233.92,243.57,257.6,270.98,285.46,284.14,279.3,259.66,260.46,258.18,257.39,245.28,241.0,248.5,233.76,230.16,237.76,230.8,228.0,218.78,222.56,224.3,217.57,203.39,194.87,192.12,185.78,181.78,179.99
Vietnam,CAIT,Total excluding LUCF,All GHG,MtCO₂e,376.53,340.42,341.58,327.32,283.0,268.77,258.29,257.88,258.43,240.94,219.51,207.66,194.56,187.96,178.68,161.11,153.23,139.58,134.56,126.53,122.4,112.7,104.68,96.39,90.24,84.61,77.93,75.42,72.55
World,CAIT,Total excluding LUCF,All GHG,MtCO₂e,47552.14,46770.42,46146.35,45974.01,45909.35,45658.86,44994.97,44486.72,43268.37,41203.89,41571.04,41172.98,39826.52,38668.69,37527.82,36072.46,34874.73,34363.55,33936.77,33129.09,32918.04,32706.56,32357.54,31788.31,31068.15,30857.21,30761.03,30904.18,30736.62
Yemen,CAIT,Total excluding LUCF,All GHG,MtCO₂e,21.76,21.97,22.74,26.05,38.81,38.35,31.47,32.39,35.61,36.97,33.06,31.41,29.68,29.33,28.24,26.98,24.03,23.84,22.25,21.07,19.24,17.82,16.48,15.82,14.3,13.92,14.8,14.02,12.37
Zambia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,40.67,39.67,39.1,38.84,37.68,37.22,36.13,32.21,32.21,29.8,30.89,30.5,30.0,32.45,31.15,31.02,28.61,26.26,25.68,28.68,32.69,33.24,34.72,38.85,41.34,42.91,44.18,44.86,45.34
Zimbabwe,CAIT,Total excluding LUCF,All GHG,MtCO₂e,31.38,28.8,29.12,31.28,29.35,30.86,30.78,30.55,28.08,25.17,24.15,26.09,25.68,26.76,26.36,26.48,29.18,32.17,31.81,34.37,31.91,30.65,31.66,29.75,29.89,30.15,33.69,32.88,32.58
